query,pdf,page,modality,pdf_page
What was the net asset value of Global Media company and its Subsidiaries in UK for FY18?,1243103,17,text,1243103_18
"What percentage of shares did Arab Media company purchase in the final quarter of 2017 from the limited liability company Argaam Investment Trading company (""Argaam"")?",1243103,17,text,1243103_18
"By comparing the carrying value of property, plant and equipment in Saudi Printing and Packaging Company, what amount did the management acquire after the impairment assessment in 2020?",1243103,6,text,1243103_7
3.	What is the total revenue of SAUDI RESEARCH AND MARKETING GROUP for the year December 2020?,1243103,5,text,1243103_6
Which two countries had the fastest growing rate of urbanisation of major population bases from 1990 to 2015?,1015168,10,text,1015168_11
"What was the purpose of the new ""Skills Agenda for Europe"" that the European Union (EU) approved in 2016?",1015168,5,text,1015168_6
Name the basic four aspects of globalization that was identified by the International Monetary Fund in 2000.,1015168,9,text,1015168_10
What is the actual average risk of breast cancer in women?,1179117,8,text,1179117_9
"Who approved the research ""Simple Messages Help Set the Record Straight about Scientific Agreement on Human-Caused Climate Change: The Results of Two Experiments"" ? ",1179117,3,text,1179117_4
"n 2013, what percentage of American adults believed that ""most scientists think global warming is happening""?",1179117,1,text,1179117_2
What causes higher volatility in the financial markets of Italy?,1262031,4,text,1262031_5
How much was the stock of bad loans in Italy at November 2015?,1262031,2,text,1262031_3
What was the percentage increase in Italian GDP by the conclusion of 2014?,1262031,0,text,1262031_1
How many electric vehicles were registered in the TJPDC region in 2020?,1067991,7,text,1067991_8
What type of vehicle model is more expensive if purchased new?,1067991,19,text,1067991_20
When is the effective date for the implementation of the $88 highway user fee on fuel-efficient 4 and electric vehicles in Virginia?,1067991,20,text,1067991_21
"In FY19, what were the earnings per share of the Saudi Research and Marketing Group?",1243103,12,table,1243103_13
What was the gross profit of Saudi Research and Marketing Group in FY20?,1243103,12,table,1243103_13
"By 2017, which fastest-growing occupation had the highest-paid individuals?",1015168,60,chart,1015168_61
Which occupation will probably lead with maximum employment changes? ,1015168,60,chart,1015168_61
What is the C/D highway range for 2019 Kia Niro EV model?,1067991,15,chart,1067991_16
How much C/D highway range does 2018 Tesla Model 3 Long Range have?,1067991,15,chart,1067991_16
A scientific agreement is more promising with or without a pre-message estimate?,1179117,11,chart,1179117_12
What is the approximate actual level of scientific agreement?,1179117,11,chart,1179117_12
What is the expected NPL ratio at the end of 2020?,1262031,20,chart,1262031_21
What was the NLP ratio in August of 2017?,1262031,20,chart,1262031_21
